SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
72.21.91.42,192.168.20.191,443,51041,14/01/2020 15:49,4.54404,11256331,2477163.713,159324,35062.19135,427496.3947,653.8320845,1106.811615,1514,1514,-1.86831632,-0.622772107,0.590734751,1.720110358,1.311529778,2.257565677,2.2460455,0.136072,0.026351312,1.617571871,0.58094867,1.11E-07,0.000332844,2.67E-05,0.000016,1.40E-05,0.096658872,0.038228444,12.45482315,0
192.168.20.191,195.201.169.48,51043,443,14/01/2020 15:49,8.171041,930,113.8165871,11936,1460.768585,434289.8172,659.0066898,677.1578947,328,1514,1.589473522,-1.269853733,0.973195018,7.408303234,2.721819839,1.559658526,0.212176,0.212108,1.485200277,0.495091742,1.745138306,3.224052333,1.795564628,0.886579167,0.1036985,0.0009,1.308024208,0.49325942,2.025272751,0
192.168.20.191,96.17.115.57,51021,443,14/01/2020 15:49,0.033776,162,4796.305069,138,4085.741355,86.4,9.295160031,60,54,54,1.936491673,0.645497224,0.154919334,0.000181952,0.013488948,0.0269778,0.033684,0,-1.491487713,1.999992903,0.500001774,0.00E+00,0,0.033683,0.033683,0.033683,-10,-10,0,1
192.168.20.191,96.114.14.140,50308,443,14/01/2020 15:49,0.060723,108,1778.568253,120,1976.186947,9,3,57,57,54,0,1,0.052631579,0.000690827,0.026283586,0.0455245,0.0606875,0,-1.730699891,1.732050544,0.577350357,0.00E+00,0,0.060687,0.060687,0.060687,-10,-10,0,0
192.168.20.191,23.78.199.198,50983,443,14/01/2020 15:49,0.019545,55,2814.018931,66,3376.822717,30.25,5.5,60.5,60.5,55,0,1,0.090909091,9.55E-05,0.0097725,0.0097725,0.0097725,0,0,1,1,0.00E+00,0,0.019545,0.019545,0.019545,-10,-10,0,0
192.168.20.191,66.218.84.45,49762,443,14/01/2020 15:49,0.02958,55,1859.364435,60,2028.397566,6.25,2.5,57.5,57.5,55,0,1,0.043478261,0.000218744,0.01479,0.01479,0.01479,0,0,1,1,0.00E+00,0,0.02958,0.02958,0.02958,-10,-10,0,0
192.168.20.191,151.101.124.237,50649,443,14/01/2020 15:49,0.025021,55,2198.153551,66,2637.784261,30.25,5.5,60.5,60.5,55,0,1,0.090909091,0.000156513,0.0125105,0.0125105,0.0125105,0,0,1,1,0.00E+00,0,0.025021,0.025021,0.025021,-10,-10,0,1
192.168.20.191,151.101.124.237,50650,443,14/01/2020 15:49,0.025077,55,2193.244806,66,2631.893767,30.25,5.5,60.5,60.5,55,0,1,0.090909091,0.000157214,0.0125385,0.0125385,0.0125385,0,0,1,1,0.00E+00,0,0.025077,0.025077,0.025077,-10,-10,0,0
192.168.20.191,104.244.42.195,49745,443,14/01/2020 15:49,0.044585,55,1233.598744,66,1480.318493,30.25,5.5,60.5,60.5,55,0,1,0.090909091,0.000496956,0.0222925,0.0222925,0.0222925,0,0,1,1,0.00E+00,0,0.044585,0.044585,0.044585,-10,-10,0,0
192.168.20.191,151.101.124.84,49872,443,14/01/2020 15:49,0.02509,55,2192.10841,66,2630.530092,30.25,5.5,60.5,60.5,55,0,1,0.090909091,0.000157377,0.012545,0.012545,0.012545,0,0,1,1,0.00E+00,0,0.02509,0.02509,0.02509,-10,-10,0,1
